_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Other Expenditures,1123491
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Contribution To Reserves/Reserve Funds,1670195
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Materials & Supplies,2378700
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Service And Rent,8764375
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Salaries And Benefits,13287684
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Equipment,1281000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Service And Rent,3313100
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Materials & Supplies,4406200
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Salaries And Benefits,34531700
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Materials & Supplies,20000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Other Expenditures,806000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Salaries And Benefits,1148000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Service And Rent,1736000
Toronto Building,BL-Building Compliance,Building Inspections,Materials & Supplies,48970
Toronto Building,BL-Building Compliance,Building Inspections,Other Expenditures,145448
Toronto Building,BL-Building Compliance,Building Inspections,Equipment,232369
Toronto Building,BL-Building Compliance,Building Inspections,Inter-Divisional Charges,441535
Toronto Building,BL-Building Compliance,Building Inspections,Service And Rent,468294
Toronto Building,BL-Building Compliance,Building Inspections,Contribution To Reserves/Reserve Funds,1426404
Toronto Building,BL-Building Compliance,Building Inspections,Salaries And Benefits,18231140
Toronto Building,BL-Building Compliance,Building Investigations,Materials & Supplies,9928
Toronto Building,BL-Building Compliance,Building Investigations,Equipment,19133
Toronto Building,BL-Building Compliance,Building Investigations,Other Expenditures,29488
Toronto Building,BL-Building Compliance,Building Investigations,Inter-Divisional Charges,89517
Toronto Building,BL-Building Compliance,Building Investigations,Service And Rent,97563
Toronto Building,BL-Building Compliance,Building Investigations,Contribution To Reserves/Reserve Funds,289189
Toronto Building,BL-Building Compliance,Building Investigations,Salaries And Benefits,3396396
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Materials & Supplies,1073
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Equipment,2068
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Other Expenditures,3188
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Inter-Divisional Charges,9677
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Service And Rent,11015
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Contribution To Reserves/Reserve Funds,31264
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Salaries And Benefits,118789
Toronto Building,BL-Building Permission & Information,Building Information,Materials & Supplies,14758
Toronto Building,BL-Building Permission & Information,Building Information,Equipment,28440
Toronto Building,BL-Building Permission & Information,Building Information,Other Expenditures,43834
Toronto Building,BL-Building Permission & Information,Building Information,Inter-Divisional Charges,133065
Toronto Building,BL-Building Permission & Information,Building Information,Service And Rent,139177
Toronto Building,BL-Building Permission & Information,Building Information,Contribution To Reserves/Reserve Funds,429875
Toronto Building,BL-Building Permission & Information,Building Information,Salaries And Benefits,2294647
Toronto Building,BL-Building Permission & Information,Building Permits,Materials & Supplies,48030
Toronto Building,BL-Building Permission & Information,Building Permits,Equipment,92560
Toronto Building,BL-Building Permission & Information,Building Permits,Other Expenditures,142659
Toronto Building,BL-Building Permission & Information,Building Permits,Inter-Divisional Charges,433068
Toronto Building,BL-Building Permission & Information,Building Permits,Service And Rent,458306
Toronto Building,BL-Building Permission & Information,Building Permits,Contribution To Reserves/Reserve Funds,1399049
Toronto Building,BL-Building Permission & Information,Building Permits,Salaries And Benefits,22119053
Toronto Building,BL-Building Permission & Information,Preliminary Review,Materials & Supplies,11405
Toronto Building,BL-Building Permission & Information,Preliminary Review,Equipment,21977
Toronto Building,BL-Building Permission & Information,Preliminary Review,Other Expenditures,33872
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Charges,102823
Toronto Building,BL-Building Permission & Information,Preliminary Review,Service And Rent,107631
Toronto Building,BL-Building Permission & Information,Preliminary Review,Contribution To Reserves/Reserve Funds,332176
Toronto Building,BL-Building Permission & Information,Preliminary Review,Salaries And Benefits,2547962
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Equipment,12098
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Contribution To Capital,21000
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Charges,31713
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Contribution To Reserves/Reserve Funds,47010
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Materials & Supplies,81949
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Service And Rent,240035
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Salaries And Benefits,3708043
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution To Capital,42000
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution To Reserves/Reserve Funds,130649
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Materials & Supplies,236832
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Equipment,242612
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Charges,986275
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Other Expenditures,13760049
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Service And Rent,20676221
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Salaries And Benefits,30766762
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Contribution To Capital,63000
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Contribution To Reserves/Reserve Funds,166574
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Equipment,189309
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Materials & Supplies,13153575
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Inter-Divisional Charges,14465894
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Salaries And Benefits,27204948
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Service And Rent,56736598
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Other Expenditures,768666961
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Other Expenditures,-8050299
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution To Capital,133000
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution To Reserves/Reserve Funds,378659
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Materials & Supplies,439090
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Equipment,612187
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Charges,973696
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Service And Rent,5462531
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Salaries And Benefits,54532283
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution To Capital,91000
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Materials & Supplies,254759
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution To Reserves/Reserve Funds,305305
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Equipment,559714
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Charges,1153354
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Service And Rent,6231147
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Salaries And Benefits,68527236
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Contribution To Capital,4536
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Other Expenditures,5252
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Equipment,8296
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Contribution To Reserves/Reserve Funds,25654
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Charges,91708
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Materials & Supplies,189304
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Service And Rent,216729
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Salaries And Benefits,895553
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Other Expenditures,9
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Contribution To Capital,756
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Equipment,15411
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Service And Rent,19072
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Materials & Supplies,20811
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Charges,46865
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Contribution To Reserves/Reserve Funds,70105
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Salaries And Benefits,543843
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Other Expenditures,49
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Contribution To Capital,3024
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Equipment,12207
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Service And Rent,117013
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Materials & Supplies,129532
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Charges,215478
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Contribution To Reserves/Reserve Funds,393601
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Salaries And Benefits,1328680
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Other Expenditures,101
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Equipment,10987
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Contribution To Capital,13608
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Service And Rent,78689
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Contribution To Reserves/Reserve Funds,100328
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Materials & Supplies,193426
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Charges,203984
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Salaries And Benefits,3666469
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Other Expenditures,4735
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Contribution To Capital,534228
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Equipment,679465
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Materials & Supplies,5510990
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Service And Rent,6287590
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Contribution To Reserves/Reserve Funds,6724653
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Charges,7194749
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Salaries And Benefits,147638267
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Other Expenditures,144
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Contribution To Capital,43848
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Contribution To Reserves/Reserve Funds,137892
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Equipment,263450
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Materials & Supplies,366514
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Inter-Divisional Charges,2067939
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Service And Rent,2610373
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Salaries And Benefits,21797640
Toronto Parking Authority,Bike Share,Bike Share,Service And Rent,1738100
Toronto Parking Authority,Net Contribution,Net Contribution,Contribution To Reserves/Reserve Funds,63414308
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Materials & Supplies,3836671
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Equipment,5234684
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Service And Rent,22419951
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Salaries And Benefits,22811971
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Other Expenditures,23035961
Toronto Parking Authority,On-Street Parking,On-Street Parking,Equipment,1756770
Toronto Parking Authority,On-Street Parking,On-Street Parking,Salaries And Benefits,3146534
Toronto Parking Authority,On-Street Parking,On-Street Parking,Service And Rent,3645714
Toronto Parking Authority,On-Street Parking,On-Street Parking,Materials & Supplies,5010607
Toronto Police Service,Toronto Police Service,Toronto Police Service,Equipment,2234800
Toronto Police Service,Toronto Police Service,Toronto Police Service,Materials & Supplies,17427300
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Charges,20411919
Toronto Police Service,Toronto Police Service,Toronto Police Service,Service And Rent,38654969
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution To Reserves/Reserve Funds,42938189
Toronto Police Service,Toronto Police Service,Toronto Police Service,Salaries And Benefits,1006149800
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Materials & Supplies,7600
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution To Reserves/Reserve Funds,529000
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Inter-Divisional Charges,575700
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Service And Rent,677300
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Salaries And Benefits,1019500
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Equipment,125377
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Contribution To Reserves/Reserve Funds,270778
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Materials & Supplies,443744
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Inter-Divisional Charges,3042364
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Other Expenditures,4170135
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Service And Rent,5195823
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Salaries And Benefits,31951991
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Materials & Supplies,8864
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Equipment,9982
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Contribution To Reserves/Reserve Funds,12894
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Service And Rent,111322
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Inter-Divisional Charges,148269
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Salaries And Benefits,2050631
Toronto Public Health,Environmental Health,Environmental Health,Other Expenditures,14000
Toronto Public Health,Environmental Health,Environmental Health,Materials & Supplies,147209
Toronto Public Health,Environmental Health,Environmental Health,Contribution To Reserves/Reserve Funds,167624
Toronto Public Health,Environmental Health,Environmental Health,Equipment,195462
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Charges,1892179
Toronto Public Health,Environmental Health,Environmental Health,Service And Rent,1933672
Toronto Public Health,Environmental Health,Environmental Health,Salaries And Benefits,19721200
Toronto Public Health,Family Health,Family Health,Equipment,329896
Toronto Public Health,Family Health,Family Health,Contribution To Reserves/Reserve Funds,335249
Toronto Public Health,Family Health,Family Health,Materials & Supplies,1242664
Toronto Public Health,Family Health,Family Health,Inter-Divisional Charges,4028424
Toronto Public Health,Family Health,Family Health,Other Expenditures,4037873
Toronto Public Health,Family Health,Family Health,Service And Rent,15162416
Toronto Public Health,Family Health,Family Health,Salaries And Benefits,67989347
Toronto Public Health,Infectious Diseases,Infectious Diseases,Equipment,299074
Toronto Public Health,Infectious Diseases,Infectious Diseases,Contribution To Reserves/Reserve Funds,412614
Toronto Public Health,Infectious Diseases,Infectious Diseases,Materials & Supplies,1474384
Toronto Public Health,Infectious Diseases,Infectious Diseases,Inter-Divisional Charges,4619338
Toronto Public Health,Infectious Diseases,Infectious Diseases,Service And Rent,6685659
Toronto Public Health,Infectious Diseases,Infectious Diseases,Salaries And Benefits,50046440
Toronto Public Health,Public Health Foundations,Public Health Foundations,Contribution To Reserves/Reserve Funds,90259
Toronto Public Health,Public Health Foundations,Public Health Foundations,Equipment,148660
Toronto Public Health,Public Health Foundations,Public Health Foundations,Materials & Supplies,208180
Toronto Public Health,Public Health Foundations,Public Health Foundations,Service And Rent,765151
Toronto Public Health,Public Health Foundations,Public Health Foundations,Inter-Divisional Charges,980799
Toronto Public Health,Public Health Foundations,Public Health Foundations,Other Expenditures,4193298
Toronto Public Health,Public Health Foundations,Public Health Foundations,Salaries And Benefits,10408108
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Equipment,88032
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution To Reserves/Reserve Funds,110971
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution To Capital,171259
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Service And Rent,2936567
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Materials & Supplies,14231429
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Salaries And Benefits,57585386
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Equipment,670206
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution To Reserves/Reserve Funds,756711
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution To Capital,1167698
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Materials & Supplies,13921850
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Service And Rent,16015247
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Salaries And Benefits,84163249
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Equipment,20189
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Contribution To Reserves/Reserve Funds,25300
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Contribution To Capital,39043
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Service And Rent,494348
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Materials & Supplies,743523
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Salaries And Benefits,5906194
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Equipment,28998800
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Other Expenditures,40963300
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Service And Rent,111329100
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Materials & Supplies,315984799
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Salaries And Benefits,1307006300
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Other Expenditures,1030700
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Materials & Supplies,13498644
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Salaries And Benefits,59029970
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Service And Rent,77610000
Toronto Water,Net Contribution,Net Contribution,Contribution To Reserves/Reserve Funds,788722551
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Other Expenditures,17200
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Equipment,109428
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Contribution To Reserves/Reserve Funds,505194
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Materials & Supplies,507075
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Service And Rent,1926595
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Inter-Divisional Charges,3632493
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Salaries And Benefits,10754397
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Equipment,33202
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Service And Rent,386831
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Materials & Supplies,402949
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Inter-Divisional Charges,2226339
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Salaries And Benefits,3536761
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Other Expenditures,4833752
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Other Expenditures,49000
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Equipment,385107
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Contribution To Reserves/Reserve Funds,2020776
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Materials & Supplies,2425125
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Service And Rent,9143088
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Inter-Divisional Charges,14872180
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Salaries And Benefits,29970592
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Equipment,1424938
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Contribution To Reserves/Reserve Funds,2525969
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Other Expenditures,7506020
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Charges,13818319
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Service And Rent,26745392
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Materials & Supplies,53892403
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Salaries And Benefits,56336026
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Other Expenditures,66200
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Equipment,809466
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Contribution To Reserves/Reserve Funds,2638978
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Materials & Supplies,3525279
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Service And Rent,16381431
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Inter-Divisional Charges,22429891
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Salaries And Benefits,44842602
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Equipment,310826
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Contribution To Reserves/Reserve Funds,2525969
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Service And Rent,4507307
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Other Expenditures,6701897
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Inter-Divisional Charges,12778672
